address,annotations,bio
برج ٨ شقه 4 شارع العراق طابق العاشر,"{""STREET"": ""العراق"", ""BUILDING"": ""٨"", ""FLOOR"": ""العاشر"", ""APARTMENT"": ""4""}","[[""برج"", ""O""], [""٨"", ""B-BUILDING""], [""شقه"", ""O""], [""4"", ""B-APARTMENT""], [""شارع"", ""O""], [""العراق"", ""B-STREET""], [""طابق"", ""O""], [""العاشر"", ""B-FLOOR""]]"
المعادي ش فيصل الدور ١ عماره السلام شبين الكوم,"{""CITY"": ""شبين الكوم"", ""AREA"": ""المعادي"", ""STREET"": ""فيصل"", ""BUILDING"": ""السلام"", ""FLOOR"": ""١""}","[[""المعادي"", ""B-AREA""], [""ش"", ""O""], [""فيصل"", ""B-STREET""], [""الدور"", ""O""], [""١"", ""B-FLOOR""], [""عماره"", ""O""], [""السلام"", ""B-BUILDING""], [""شبين"", ""B-CITY""], [""الكوم"", ""I-CITY""]]"
شارع صلاح سالم الهرم بيت الورد المنوفيه,"{""CITY"": ""المنوفيه"", ""AREA"": ""الهرم"", ""STREET"": ""صلاح سالم"", ""BUILDING"": ""الورد""}","[[""شارع"", ""O""], [""صلاح"", ""B-STREET""], [""سالم"", ""I-STREET""], [""الهرم"", ""B-AREA""], [""بيت"", ""O""], [""الورد"", ""B-BUILDING""], [""المنوفيه"", ""B-CITY""]]"
فوق مسجد النور زهراء المعادي الاقصر الطابق ١١ مبنى المدينه ش النور,"{""CITY"": ""الاقصر"", ""AREA"": ""زهراء المعادي"", ""STREET"": ""النور"", ""LANDMARK"": ""مسجد"", ""BUILDING"": ""المدينه"", ""FLOOR"": ""١١""}","[[""فوق"", ""O""], [""مسجد"", ""B-LANDMARK""], [""النور"", ""B-STREET""], [""زهراء"", ""B-AREA""], [""المعادي"", ""I-AREA""], [""الاقصر"", ""B-CITY""], [""الطابق"", ""O""], [""١١"", ""B-FLOOR""], [""مبنى"", ""O""], [""المدينه"", ""B-BUILDING""], [""ش"", ""O""], [""النور"", ""O""]]"
شبرا شرم الشيخ,"{""CITY"": ""شرم الشيخ"", ""AREA"": ""شبرا""}","[[""شبرا"", ""B-AREA""], [""شرم"", ""B-CITY""], [""الشيخ"", ""I-CITY""]]"
شارع 9 شقه رقم 20 خلف بنك النور محافظه الفيوم الطابق ١٠,"{""CITY"": ""الفيوم"", ""STREET"": ""9"", ""LANDMARK"": ""بنك النور"", ""FLOOR"": ""١٠"", ""APARTMENT"": ""20""}","[[""شارع"", ""O""], [""9"", ""B-STREET""], [""شقه"", ""O""], [""رقم"", ""O""], [""20"", ""B-APARTMENT""], [""خلف"", ""O""], [""بنك"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""محافظه"", ""O""], [""الفيوم"", ""B-CITY""], [""الطابق"", ""O""], [""١٠"", ""B-FLOOR""]]"
دسوق تحت نادي الشمس شقه 5 في بولاق الدكرور,"{""CITY"": ""دسوق"", ""AREA"": ""بولاق الدكرور"", ""LANDMARK"": ""نادي الشمس"", ""APARTMENT"": ""5""}","[[""دسوق"", ""B-CITY""], [""تحت"", ""O""], [""نادي"", ""B-LANDMARK""], [""الشمس"", ""I-LANDMARK""], [""شقه"", ""O""], [""5"", ""B-APARTMENT""], [""في"", ""O""], [""بولاق"", ""B-AREA""], [""الدكرور"", ""I-AREA""]]"
سوهاج شارع الكويت برج سان ستيفانو,"{""CITY"": ""سوهاج"", ""STREET"": ""الكويت"", ""BUILDING"": ""سان ستيفانو""}","[[""سوهاج"", ""B-CITY""], [""شارع"", ""O""], [""الكويت"", ""B-STREET""], [""برج"", ""O""], [""سان"", ""B-BUILDING""], [""ستيفانو"", ""I-BUILDING""]]"
جنب بنك الامل طره قنا شقة 6,"{""CITY"": ""قنا"", ""AREA"": ""طره"", ""LANDMARK"": ""بنك الامل"", ""APARTMENT"": ""6""}","[[""جنب"", ""O""], [""بنك"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""طره"", ""B-AREA""], [""قنا"", ""B-CITY""], [""شقة"", ""O""], [""6"", ""B-APARTMENT""]]"
محافظه دسوق في التجمع شقه ٧,"{""CITY"": ""دسوق"", ""AREA"": ""التجمع"", ""APARTMENT"": ""٧""}","[[""محافظه"", ""O""], [""دسوق"", ""B-CITY""], [""في"", ""O""], [""التجمع"", ""B-AREA""], [""شقه"", ""O""], [""٧"", ""B-APARTMENT""]]"
مبنى ١٣ محافظه الفيوم شارع النصر,"{""CITY"": ""الفيوم"", ""STREET"": ""النصر"", ""BUILDING"": ""١٣""}","[[""مبنى"", ""O""], [""١٣"", ""B-BUILDING""], [""محافظه"", ""O""], [""الفيوم"", ""B-CITY""], [""شارع"", ""O""], [""النصر"", ""B-STREET""]]"
ش ابراهيم اللقاني شقة ١٣ امام مستشفي الهدى في حدائق الاهرام الدور ٢٠ في المنيا,"{""CITY"": ""المنيا"", ""AREA"": ""حدائق الاهرام"", ""STREET"": ""ابراهيم اللقاني"", ""LANDMARK"": ""مستشفي الهدى"", ""FLOOR"": ""٢٠"", ""APARTMENT"": ""١٣""}","[[""ش"", ""O""], [""ابراهيم"", ""B-STREET""], [""اللقاني"", ""I-STREET""], [""شقة"", ""O""], [""١٣"", ""B-APARTMENT""], [""امام"", ""O""], [""مستشفي"", ""B-LANDMARK""], [""الهدى"", ""I-LANDMARK""], [""في"", ""O""], [""حدائق"", ""B-AREA""], [""الاهرام"", ""I-AREA""], [""الدور"", ""O""], [""٢٠"", ""B-FLOOR""], [""في"", ""O""], [""المنيا"", ""B-CITY""]]"
جمب صيدليه الامل شارع التحرير منطقه المطريه الدور 2 محافظه الفيوم,"{""CITY"": ""الفيوم"", ""AREA"": ""المطريه"", ""STREET"": ""التحرير"", ""LANDMARK"": ""صيدليه الامل"", ""FLOOR"": ""2""}","[[""جمب"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""شارع"", ""O""], [""التحرير"", ""B-STREET""], [""منطقه"", ""O""], [""المطريه"", ""B-AREA""], [""الدور"", ""O""], [""2"", ""B-FLOOR""], [""محافظه"", ""O""], [""الفيوم"", ""B-CITY""]]"
في دسوق منطقه التجمع ش 20 بجوار الكليه,"{""CITY"": ""دسوق"", ""AREA"": ""التجمع"", ""STREET"": ""20"", ""LANDMARK"": ""الكليه""}","[[""في"", ""O""], [""دسوق"", ""B-CITY""], [""منطقه"", ""O""], [""التجمع"", ""B-AREA""], [""ش"", ""O""], [""20"", ""B-STREET""], [""بجوار"", ""O""], [""الكليه"", ""B-LANDMARK""]]"
الدور ٢٠ النزهه بجوار الجامعه شارع السودان اسكندريه شقه ٨,"{""CITY"": ""اسكندريه"", ""AREA"": ""النزهه"", ""STREET"": ""السودان"", ""LANDMARK"": ""الجامعه"", ""FLOOR"": ""٢٠"", ""APARTMENT"": ""٨""}","[[""الدور"", ""O""], [""٢٠"", ""B-FLOOR""], [""النزهه"", ""B-AREA""], [""بجوار"", ""O""], [""الجامعه"", ""B-LANDMARK""], [""شارع"", ""O""], [""السودان"", ""B-STREET""], [""اسكندريه"", ""B-CITY""], [""شقه"", ""O""], [""٨"", ""B-APARTMENT""]]"
شقه رقم ٧ شارع مكرم عبيد بيت ١٦ الدور الاول المنيب في دسوق,"{""CITY"": ""دسوق"", ""AREA"": ""المنيب"", ""STREET"": ""مكرم عبيد"", ""BUILDING"": ""١٦"", ""FLOOR"": ""الاول"", ""APARTMENT"": ""٧""}","[[""شقه"", ""O""], [""رقم"", ""O""], [""٧"", ""B-APARTMENT""], [""شارع"", ""O""], [""مكرم"", ""B-STREET""], [""عبيد"", ""I-STREET""], [""بيت"", ""O""], [""١٦"", ""B-BUILDING""], [""الدور"", ""O""], [""الاول"", ""B-FLOOR""], [""المنيب"", ""B-AREA""], [""في"", ""O""], [""دسوق"", ""B-CITY""]]"
فيلا 4 كرموز طابق ٦ شقة ٢٠ عند الكليه القاهره,"{""CITY"": ""القاهره"", ""AREA"": ""كرموز"", ""LANDMARK"": ""الكليه"", ""BUILDING"": ""4"", ""FLOOR"": ""٦"", ""APARTMENT"": ""٢٠""}","[[""فيلا"", ""O""], [""4"", ""B-BUILDING""], [""كرموز"", ""B-AREA""], [""طابق"", ""O""], [""٦"", ""B-FLOOR""], [""شقة"", ""O""], [""٢٠"", ""B-APARTMENT""], [""عند"", ""O""], [""الكليه"", ""B-LANDMARK""], [""القاهره"", ""B-CITY""]]"
المعصره بجوار محطه المترو ش احمد عرابي برج التوحيد شقه ١٨ الطابق التالت دمياط,"{""CITY"": ""دمياط"", ""AREA"": ""المعصره"", ""STREET"": ""احمد عرابي"", ""LANDMARK"": ""محطه المترو"", ""BUILDING"": ""التوحيد"", ""FLOOR"": ""التالت"", ""APARTMENT"": ""١٨""}","[[""المعصره"", ""B-AREA""], [""بجوار"", ""O""], [""محطه"", ""B-LANDMARK""], [""المترو"", ""I-LANDMARK""], [""ش"", ""O""], [""احمد"", ""B-STREET""], [""عرابي"", ""I-STREET""], [""برج"", ""O""], [""التوحيد"", ""B-BUILDING""], [""شقه"", ""O""], [""١٨"", ""B-APARTMENT""], [""الطابق"", ""O""], [""التالت"", ""B-FLOOR""], [""دمياط"", ""B-CITY""]]"
بورسعيد طابق ٩ شارع الثوره شقه ٨,"{""CITY"": ""بورسعيد"", ""STREET"": ""الثوره"", ""FLOOR"": ""٩"", ""APARTMENT"": ""٨""}","[[""بورسعيد"", ""B-CITY""], [""طابق"", ""O""], [""٩"", ""B-FLOOR""], [""شارع"", ""O""], [""الثوره"", ""B-STREET""], [""شقه"", ""O""], [""٨"", ""B-APARTMENT""]]"
شقه رقم ١٨ فيصل طابق 2 محافظه بني سويف شارع السلام,"{""CITY"": ""بني سويف"", ""AREA"": ""فيصل"", ""STREET"": ""السلام"", ""FLOOR"": ""2"", ""APARTMENT"": ""١٨""}","[[""شقه"", ""O""], [""رقم"", ""O""], [""١٨"", ""B-APARTMENT""], [""فيصل"", ""B-AREA""], [""طابق"", ""O""], [""2"", ""B-FLOOR""], [""محافظه"", ""O""], [""بني"", ""B-CITY""], [""سويف"", ""I-CITY""], [""شارع"", ""O""], [""السلام"", ""B-STREET""]]"
شقه ١٥ عماره 3 الدور 11 شرم الشيخ,"{""CITY"": ""شرم الشيخ"", ""BUILDING"": ""3"", ""FLOOR"": ""11"", ""APARTMENT"": ""١٥""}","[[""شقه"", ""O""], [""١٥"", ""B-APARTMENT""], [""عماره"", ""O""], [""3"", ""B-BUILDING""], [""الدور"", ""O""], [""11"", ""B-FLOOR""], [""شرم"", ""B-CITY""], [""الشيخ"", ""I-CITY""]]"
شقه ٧ المطريه دور التالت محافظه الغردقه عماره الرياحين شارع السوق,"{""CITY"": ""الغردقه"", ""AREA"": ""المطريه"", ""STREET"": ""السوق"", ""BUILDING"": ""الرياحين"", ""FLOOR"": ""التالت"", ""APARTMENT"": ""٧""}","[[""شقه"", ""O""], [""٧"", ""B-APARTMENT""], [""المطريه"", ""B-AREA""], [""دور"", ""O""], [""التالت"", ""B-FLOOR""], [""محافظه"", ""O""], [""الغردقه"", ""B-CITY""], [""عماره"", ""O""], [""الرياحين"", ""B-BUILDING""], [""شارع"", ""O""], [""السوق"", ""B-STREET""]]"
كفر الدوار برج الوطني شارع محمود خاطر شقه رقم ٨ دور 3,"{""CITY"": ""كفر الدوار"", ""STREET"": ""محمود خاطر"", ""BUILDING"": ""الوطني"", ""FLOOR"": ""3"", ""APARTMENT"": ""٨""}","[[""كفر"", ""B-CITY""], [""الدوار"", ""I-CITY""], [""برج"", ""O""], [""الوطني"", ""B-BUILDING""], [""شارع"", ""O""], [""محمود"", ""B-STREET""], [""خاطر"", ""I-STREET""], [""شقه"", ""O""], [""رقم"", ""O""], [""٨"", ""B-APARTMENT""], [""دور"", ""O""], [""3"", ""B-FLOOR""]]"
الطابق 16 شارع ٥٠ برج نفرتيتي فوق مدرسه النور محافظه المنوفيه شقة رقم ١٧,"{""CITY"": ""المنوفيه"", ""STREET"": ""٥٠"", ""LANDMARK"": ""مدرسه النور"", ""BUILDING"": ""نفرتيتي"", ""FLOOR"": ""16"", ""APARTMENT"": ""١٧""}","[[""الطابق"", ""O""], [""16"", ""B-FLOOR""], [""شارع"", ""O""], [""٥٠"", ""B-STREET""], [""برج"", ""O""], [""نفرتيتي"", ""B-BUILDING""], [""فوق"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""محافظه"", ""O""], [""المنوفيه"", ""B-CITY""], [""شقة"", ""O""], [""رقم"", ""O""], [""١٧"", ""B-APARTMENT""]]"
الدور 20 ش 9 في طره برج ١١ شقة رقم ١٦,"{""AREA"": ""طره"", ""STREET"": ""9"", ""BUILDING"": ""١١"", ""FLOOR"": ""20"", ""APARTMENT"": ""١٦""}","[[""الدور"", ""O""], [""20"", ""B-FLOOR""], [""ش"", ""O""], [""9"", ""B-STREET""], [""في"", ""O""], [""طره"", ""B-AREA""], [""برج"", ""O""], [""١١"", ""B-BUILDING""], [""شقة"", ""O""], [""رقم"", ""O""], [""١٦"", ""B-APARTMENT""]]"
في حلوان محافظه قنا,"{""CITY"": ""قنا"", ""AREA"": ""حلوان""}","[[""في"", ""O""], [""حلوان"", ""B-AREA""], [""محافظه"", ""O""], [""قنا"", ""B-CITY""]]"
طابق 2 شارع السودان شقة 7 محافظه الدقهليه,"{""CITY"": ""الدقهليه"", ""STREET"": ""السودان"", ""FLOOR"": ""2"", ""APARTMENT"": ""7""}","[[""طابق"", ""O""], [""2"", ""B-FLOOR""], [""شارع"", ""O""], [""السودان"", ""B-STREET""], [""شقة"", ""O""], [""7"", ""B-APARTMENT""], [""محافظه"", ""O""], [""الدقهليه"", ""B-CITY""]]"
كفر الشيخ خلف كافيه مكه عماره 19 الطابق ٨ ش بغداد شقة رقم ٣ العباسيه,"{""CITY"": ""كفر الشيخ"", ""AREA"": ""العباسيه"", ""STREET"": ""بغداد"", ""LANDMARK"": ""كافيه مكه"", ""BUILDING"": ""19"", ""FLOOR"": ""٨"", ""APARTMENT"": ""٣""}","[[""كفر"", ""B-CITY""], [""الشيخ"", ""I-CITY""], [""خلف"", ""O""], [""كافيه"", ""B-LANDMARK""], [""مكه"", ""I-LANDMARK""], [""عماره"", ""O""], [""19"", ""B-BUILDING""], [""الطابق"", ""O""], [""٨"", ""B-FLOOR""], [""ش"", ""O""], [""بغداد"", ""B-STREET""], [""شقة"", ""O""], [""رقم"", ""O""], [""٣"", ""B-APARTMENT""], [""العباسيه"", ""B-AREA""]]"
دمياط بيت ١٢ ش العراق المرج شقه رقم ١٨ قدام صيدليه النور,"{""CITY"": ""دمياط"", ""AREA"": ""المرج"", ""STREET"": ""العراق"", ""LANDMARK"": ""صيدليه النور"", ""BUILDING"": ""١٢"", ""APARTMENT"": ""١٨""}","[[""دمياط"", ""B-CITY""], [""بيت"", ""O""], [""١٢"", ""B-BUILDING""], [""ش"", ""O""], [""العراق"", ""B-STREET""], [""المرج"", ""B-AREA""], [""شقه"", ""O""], [""رقم"", ""O""], [""١٨"", ""B-APARTMENT""], [""قدام"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""]]"
شقه 13 محافظه دمياط الاميريه شارع فيصل برج 7,"{""CITY"": ""دمياط"", ""AREA"": ""الاميريه"", ""STREET"": ""فيصل"", ""BUILDING"": ""7"", ""APARTMENT"": ""13""}","[[""شقه"", ""O""], [""13"", ""B-APARTMENT""], [""محافظه"", ""O""], [""دمياط"", ""B-CITY""], [""الاميريه"", ""B-AREA""], [""شارع"", ""O""], [""فيصل"", ""B-STREET""], [""برج"", ""O""], [""7"", ""B-BUILDING""]]"
شارع سعد زغلول الخانكه فيلا ٧,"{""CITY"": ""الخانكه"", ""STREET"": ""سعد زغلول"", ""BUILDING"": ""٧""}","[[""شارع"", ""O""], [""سعد"", ""B-STREET""], [""زغلول"", ""I-STREET""], [""الخانكه"", ""B-CITY""], [""فيلا"", ""O""], [""٧"", ""B-BUILDING""]]"
عقار 8 المنصوره ش النيل,"{""CITY"": ""المنصوره"", ""STREET"": ""النيل"", ""BUILDING"": ""8""}","[[""عقار"", ""O""], [""8"", ""B-BUILDING""], [""المنصوره"", ""B-CITY""], [""ش"", ""O""], [""النيل"", ""B-STREET""]]"
فيلا الشروق شقه رقم ١٩ ش الجيش دور التاني الدخيله,"{""AREA"": ""الدخيله"", ""STREET"": ""الجيش"", ""BUILDING"": ""الشروق"", ""FLOOR"": ""التاني"", ""APARTMENT"": ""١٩""}","[[""فيلا"", ""O""], [""الشروق"", ""B-BUILDING""], [""شقه"", ""O""], [""رقم"", ""O""], [""١٩"", ""B-APARTMENT""], [""ش"", ""O""], [""الجيش"", ""B-STREET""], [""دور"", ""O""], [""التاني"", ""B-FLOOR""], [""الدخيله"", ""B-AREA""]]"
المنصوره عماره رمسيس شارع صلاح سالم,"{""CITY"": ""المنصوره"", ""STREET"": ""صلاح سالم"", ""BUILDING"": ""رمسيس""}","[[""المنصوره"", ""B-CITY""], [""عماره"", ""O""], [""رمسيس"", ""B-BUILDING""], [""شارع"", ""O""], [""صلاح"", ""B-STREET""], [""سالم"", ""I-STREET""]]"
عند بنك مصر المعصره شقه ١٣ الخانكه,"{""CITY"": ""الخانكه"", ""AREA"": ""المعصره"", ""LANDMARK"": ""بنك مصر"", ""APARTMENT"": ""١٣""}","[[""عند"", ""O""], [""بنك"", ""B-LANDMARK""], [""مصر"", ""I-LANDMARK""], [""المعصره"", ""B-AREA""], [""شقه"", ""O""], [""١٣"", ""B-APARTMENT""], [""الخانكه"", ""B-CITY""]]"
مقابل مسجد التوحيد محافظه اسيوط ش الامل مبنى ١٤,"{""CITY"": ""اسيوط"", ""STREET"": ""الامل"", ""LANDMARK"": ""مسجد التوحيد"", ""BUILDING"": ""١٤""}","[[""مقابل"", ""O""], [""مسجد"", ""B-LANDMARK""], [""التوحيد"", ""I-LANDMARK""], [""محافظه"", ""O""], [""اسيوط"", ""B-CITY""], [""ش"", ""O""], [""الامل"", ""B-STREET""], [""مبنى"", ""O""], [""١٤"", ""B-BUILDING""]]"
امام مسجد الهدى المقطم السويس شقه ٢٠,"{""CITY"": ""السويس"", ""AREA"": ""المقطم"", ""LANDMARK"": ""مسجد الهدى"", ""APARTMENT"": ""٢٠""}","[[""امام"", ""O""], [""مسجد"", ""B-LANDMARK""], [""الهدى"", ""I-LANDMARK""], [""المقطم"", ""B-AREA""], [""السويس"", ""B-CITY""], [""شقه"", ""O""], [""٢٠"", ""B-APARTMENT""]]"
بورسعيد قدام صيدليه الامل البساتين شارع السودان,"{""CITY"": ""بورسعيد"", ""AREA"": ""البساتين"", ""STREET"": ""السودان"", ""LANDMARK"": ""صيدليه الامل""}","[[""بورسعيد"", ""B-CITY""], [""قدام"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""البساتين"", ""B-AREA""], [""شارع"", ""O""], [""السودان"", ""B-STREET""]]"
بجوار سوبر ماركت الامل المطريه شقه ٢ الفيوم,"{""CITY"": ""الفيوم"", ""AREA"": ""المطريه"", ""LANDMARK"": ""سوبر ماركت الامل"", ""APARTMENT"": ""٢""}","[[""بجوار"", ""O""], [""سوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""المطريه"", ""B-AREA""], [""شقه"", ""O""], [""٢"", ""B-APARTMENT""], [""الفيوم"", ""B-CITY""]]"
طابق ٧ السويس شقه ٦ مبنى ١٠,"{""CITY"": ""السويس"", ""BUILDING"": ""١٠"", ""FLOOR"": ""٧"", ""APARTMENT"": ""٦""}","[[""طابق"", ""O""], [""٧"", ""B-FLOOR""], [""السويس"", ""B-CITY""], [""شقه"", ""O""], [""٦"", ""B-APARTMENT""], [""مبنى"", ""O""], [""١٠"", ""B-BUILDING""]]"
برج الهدى في الاسكندريه قدام كافيه الهدى منطقه فيصل شقه ١٨ ش سوريا الدور ١٧,"{""CITY"": ""الاسكندريه"", ""AREA"": ""فيصل"", ""STREET"": ""سوريا"", ""LANDMARK"": ""كافيه الهدى"", ""BUILDING"": ""الهدى"", ""FLOOR"": ""١٧"", ""APARTMENT"": ""١٨""}","[[""برج"", ""O""], [""الهدى"", ""B-BUILDING""], [""في"", ""O""], [""الاسكندريه"", ""B-CITY""], [""قدام"", ""O""], [""كافيه"", ""B-LANDMARK""], [""الهدى"", ""I-LANDMARK""], [""منطقه"", ""O""], [""فيصل"", ""B-AREA""], [""شقه"", ""O""], [""١٨"", ""B-APARTMENT""], [""ش"", ""O""], [""سوريا"", ""B-STREET""], [""الدور"", ""O""], [""١٧"", ""B-FLOOR""]]"
شقة ٩ خلف كنيسه النور البحيره وسط البلد,"{""CITY"": ""البحيره"", ""AREA"": ""وسط البلد"", ""LANDMARK"": ""كنيسه النور"", ""APARTMENT"": ""٩""}","[[""شقة"", ""O""], [""٩"", ""B-APARTMENT""], [""خلف"", ""O""], [""كنيسه"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""البحيره"", ""B-CITY""], [""وسط"", ""B-AREA""], [""البلد"", ""I-AREA""]]"
ش محمد نجيب الهرم عماره الامل محافظه طنطا شقة رقم ١٢ الطابق ٢,"{""CITY"": ""طنطا"", ""AREA"": ""الهرم"", ""STREET"": ""محمد نجيب"", ""BUILDING"": ""الامل"", ""FLOOR"": ""٢"", ""APARTMENT"": ""١٢""}","[[""ش"", ""O""], [""محمد"", ""B-STREET""], [""نجيب"", ""I-STREET""], [""الهرم"", ""B-AREA""], [""عماره"", ""O""], [""الامل"", ""B-BUILDING""], [""محافظه"", ""O""], [""طنطا"", ""B-CITY""], [""شقة"", ""O""], [""رقم"", ""O""], [""١٢"", ""B-APARTMENT""], [""الطابق"", ""O""], [""٢"", ""B-FLOOR""]]"
شقه ٤ مبنى ٢٠ الزقازيق,"{""CITY"": ""الزقازيق"", ""BUILDING"": ""٢٠"", ""APARTMENT"": ""٤""}","[[""شقه"", ""O""], [""٤"", ""B-APARTMENT""], [""مبنى"", ""O""], [""٢٠"", ""B-BUILDING""], [""الزقازيق"", ""B-CITY""]]"
جنب البنك الاهلي فيلا ١ شارع النور محافظه دمياط في الزمالك الدور الثاني شقه ١٧,"{""CITY"": ""دمياط"", ""AREA"": ""الزمالك"", ""STREET"": ""النور"", ""LANDMARK"": ""البنك الاهلي"", ""BUILDING"": ""١"", ""FLOOR"": ""الثاني"", ""APARTMENT"": ""١٧""}","[[""جنب"", ""O""], [""البنك"", ""B-LANDMARK""], [""الاهلي"", ""I-LANDMARK""], [""فيلا"", ""O""], [""١"", ""B-BUILDING""], [""شارع"", ""O""], [""النور"", ""B-STREET""], [""محافظه"", ""O""], [""دمياط"", ""B-CITY""], [""في"", ""O""], [""الزمالك"", ""B-AREA""], [""الدور"", ""O""], [""الثاني"", ""B-FLOOR""], [""شقه"", ""O""], [""١٧"", ""B-APARTMENT""]]"
شارع محمود خاطر عماره ٤ الطابق ٩,"{""STREET"": ""محمود خاطر"", ""BUILDING"": ""٤"", ""FLOOR"": ""٩""}","[[""شارع"", ""O""], [""محمود"", ""B-STREET""], [""خاطر"", ""I-STREET""], [""عماره"", ""O""], [""٤"", ""B-BUILDING""], [""الطابق"", ""O""], [""٩"", ""B-FLOOR""]]"
محافظه اسيوط في العامريه,"{""CITY"": ""اسيوط"", ""AREA"": ""العامريه""}","[[""محافظه"", ""O""], [""اسيوط"", ""B-CITY""], [""في"", ""O""], [""العامريه"", ""B-AREA""]]"
شارع احمد كمال شقه 7 الطابق ١٨,"{""STREET"": ""احمد كمال"", ""FLOOR"": ""١٨"", ""APARTMENT"": ""7""}","[[""شارع"", ""O""], [""احمد"", ""B-STREET""], [""كمال"", ""I-STREET""], [""شقه"", ""O""], [""7"", ""B-APARTMENT""], [""الطابق"", ""O""], [""١٨"", ""B-FLOOR""]]"
في اسكندريه دور 12 شقه ١٨ ش السوق,"{""CITY"": ""اسكندريه"", ""STREET"": ""السوق"", ""FLOOR"": ""12"", ""APARTMENT"": ""١٨""}","[[""في"", ""O""], [""اسكندريه"", ""B-CITY""], [""دور"", ""O""], [""12"", ""B-FLOOR""], [""شقه"", ""O""], [""١٨"", ""B-APARTMENT""], [""ش"", ""O""], [""السوق"", ""B-STREET""]]"
عند سوبر ماركت مكه شقة رقم ٦ سيدي بشر محافظه شبين الكوم,"{""CITY"": ""شبين الكوم"", ""AREA"": ""سيدي بشر"", ""LANDMARK"": ""سوبر ماركت مكه"", ""APARTMENT"": ""٦""}","[[""عند"", ""O""], [""سوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""مكه"", ""I-LANDMARK""], [""شقة"", ""O""], [""رقم"", ""O""], [""٦"", ""B-APARTMENT""], [""سيدي"", ""B-AREA""], [""بشر"", ""I-AREA""], [""محافظه"", ""O""], [""شبين"", ""B-CITY""], [""الكوم"", ""I-CITY""]]"
اسيوط الهرم,"{""CITY"": ""اسيوط"", ""AREA"": ""الهرم""}","[[""اسيوط"", ""B-CITY""], [""الهرم"", ""B-AREA""]]"
عماره نفرتيتي بولاق الدكرور الطابق الثاني ش جمال عبد الناصر,"{""AREA"": ""بولاق الدكرور"", ""STREET"": ""جمال عبد الناصر"", ""BUILDING"": ""نفرتيتي"", ""FLOOR"": ""الثاني""}","[[""عماره"", ""O""], [""نفرتيتي"", ""B-BUILDING""], [""بولاق"", ""B-AREA""], [""الدكرور"", ""I-AREA""], [""الطابق"", ""O""], [""الثاني"", ""B-FLOOR""], [""ش"", ""O""], [""جمال"", ""B-STREET""], [""عبد"", ""I-STREET""], [""الناصر"", ""I-STREET""]]"
ش علي بن ابي طالب دور الرابع العجوزه قريب من المحطه محافظه اسيوط شقة ٩,"{""CITY"": ""اسيوط"", ""AREA"": ""العجوزه"", ""STREET"": ""علي بن ابي طالب"", ""LANDMARK"": ""المحطه"", ""FLOOR"": ""الرابع"", ""APARTMENT"": ""٩""}","[[""ش"", ""O""], [""علي"", ""B-STREET""], [""بن"", ""I-STREET""], [""ابي"", ""I-STREET""], [""طالب"", ""I-STREET""], [""دور"", ""O""], [""الرابع"", ""B-FLOOR""], [""العجوزه"", ""B-AREA""], [""قريب"", ""O""], [""من"", ""O""], [""المحطه"", ""B-LANDMARK""], [""محافظه"", ""O""], [""اسيوط"", ""B-CITY""], [""شقة"", ""O""], [""٩"", ""B-APARTMENT""]]"
في دسوق حي اللبان,"{""CITY"": ""دسوق"", ""AREA"": ""اللبان""}","[[""في"", ""O""], [""دسوق"", ""B-CITY""], [""حي"", ""O""], [""اللبان"", ""B-AREA""]]"
شارع النيل الطابق الخامس شقه ١٦ عند بنك النور بيت ٢,"{""STREET"": ""النيل"", ""LANDMARK"": ""بنك النور"", ""BUILDING"": ""٢"", ""FLOOR"": ""الخامس"", ""APARTMENT"": ""١٦""}","[[""شارع"", ""O""], [""النيل"", ""B-STREET""], [""الطابق"", ""O""], [""الخامس"", ""B-FLOOR""], [""شقه"", ""O""], [""١٦"", ""B-APARTMENT""], [""عند"", ""O""], [""بنك"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""بيت"", ""O""], [""٢"", ""B-BUILDING""]]"
شارع ٥٠ بيت الهدى عند كنيسه السلام شقه رقم ١٢,"{""STREET"": ""٥٠"", ""LANDMARK"": ""كنيسه السلام"", ""BUILDING"": ""الهدى"", ""APARTMENT"": ""١٢""}","[[""شارع"", ""O""], [""٥٠"", ""B-STREET""], [""بيت"", ""O""], [""الهدى"", ""B-BUILDING""], [""عند"", ""O""], [""كنيسه"", ""B-LANDMARK""], [""السلام"", ""I-LANDMARK""], [""شقه"", ""O""], [""رقم"", ""O""], [""١٢"", ""B-APARTMENT""]]"
